"","overall","variables"
"46",157.328739664524,"mean_delay_1m"
"41",155.636521973846,"delay_indiv_21"
"11",70.5297901984799,"contract_status5"
"42",65.5414426461995,"delay_indiv_140"
"40",59.1972881808586,"delay_indiv"
"43",48.972948275093,"mean_delay_12m"
"39",47.8982877236693,"due_amount"
"6",47.0137312973642,"paid_amount"
"2",46.756672147905,"payment_order"
"45",43.814696465937,"mean_delay_3m"
"23",13.9387355608581,"number_other_product"
"14",9.11842131899869,"contract_status8"
"13",9.03707377334082,"contract_status7"
"3",7.80484931463251,"due_date"
"1",7.35695817787377,"contract_id"
"8",6.63818485557631,"product_type3"
"44",6.46374580159964,"mean_delay_6m"
"34",5.82752203576325,"total_earningslevel10"
"24",4.72239335321391,"client_mobileTRUE"
"33",4.63197513610023,"total_earningslevel9"
"4",4.41380615347199,"different_contact_areaTRUE"
"19",3.61759054749316,"marital_status4"
"32",3.59013186839057,"total_earningslevel8"
"21",3.50619518042644,"marital_status6"
"16",3.35482134127293,"business_discount1"
"18",3.34915137501627,"marital_status3"
"17",3.34306230516041,"marital_status2"
"20",3.18260478578559,"marital_status5"
"15",2.94867470495175,"contract_status9"
"36",2.90376314649203,"birth_year"
"22",2.89245606806834,"number_of_children"
"31",2.88304873928725,"total_earningslevel7"
"30",2.86752092912574,"total_earningslevel6"
"5",2.15170155811622,"cf_val"
"37",2.0281242728035,"birth_month"
"25",1.8252987212143,"client_emailTRUE"
"12",1.52572791652781,"contract_status6"
"28",1.41957056216425,"total_earningslevel4"
"26",0.703266047831828,"total_earningslevel2"
"7",0.630645657493837,"product_type2"
"29",0.498859218062567,"total_earningslevel5"
"10",0.324803027298384,"product_type5"
"27",0.209792155331061,"total_earningslevel3"
"38",0.204212933774158,"kzmz_flagTRUE"
"35",0.163936421609046,"total_earningsnot_declared"
"9",0.00385584299817569,"product_type4"
